Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/26  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/26  06:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/26  07:00:00,89049699.7085224,89049699.70852241,6791184.0 
 01/26  08:00:00,143868808.20114357,143868808.20114357,6791184.0 
 01/26  09:00:00,299349275.206783,299349275.206783,6791184.0 
 01/26  10:00:00,268797015.8573103,268797015.8573103,6791184.0 
 01/26  11:00:00,277347912.17235878,277347912.17235878,6791184.0 
 01/26  12:00:00,295909862.7585308,295909862.75853088,15963653.507156995 
 01/26  13:00:00,294430181.31164029,294430181.31164029,25856128.56161661 
 01/26  14:00:00,309713544.9778439,309713544.9778439,25637459.455572715 
 01/26  15:00:00,297918823.95494469,297918823.95494469,15548782.512493924 
 01/26  16:00:00,298396156.564516,298396156.56451597,15514896.705749218 
 01/26  17:00:00,303614116.3960763,303614116.3960763,20383145.620316805 
 01/26  18:00:00,226866299.71166457,226866299.7116645,11042885.54618122 
 01/26  19:00:00,129243357.24576777,129243357.24576774,10975002.726151256 
 01/26  20:00:00,111732197.13277403,111732197.132774,6791184.0 
 01/26  21:00:00,101009186.84583813,101009186.84583813,15422224.498746854 
 01/26  22:00:00,96269263.15284068,96269263.15284068,22796850.52748268 
 01/26  23:00:00,77772390.65670999,77772390.65670999,6791184.0 
 01/26  24:00:00,72442274.24247962,72442274.24247962,6791184.0 
 01/27  01:00:00,57996196.7332391,57996196.7332391,6791184.0 
 01/27  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/27  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/27  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/27  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/27  06:00:00,57609860.1137362,57609860.1137362,6791184.0 
 01/27  07:00:00,89099853.36062448,89099853.36062449,61660429.44337233 
 01/27  08:00:00,151832669.92548088,151832669.92548088,35093857.6978765 
 01/27  09:00:00,301262369.88387188,301262369.88387188,12501279.223557707 
 01/27  10:00:00,268917372.334735,268917372.334735,6791184.0 
 01/27  11:00:00,277750920.4577337,277750920.4577337,6791184.0 
 01/27  12:00:00,303998241.2823065,303998241.28230646,15339493.424385326 
 01/27  13:00:00,306892156.2348151,306892156.2348151,26105980.926869606 
 01/27  14:00:00,315693748.5656818,315693748.5656818,21323373.162117989 
 01/27  15:00:00,298556041.79845169,298556041.79845169,15933935.907072168 
 01/27  16:00:00,290468863.5160644,290468863.51606437,15160263.756897644 
 01/27  17:00:00,297217797.2602558,297217797.26025578,20365338.591919375 
 01/27  18:00:00,224428020.7892195,224428020.7892195,15349072.070831327 
 01/27  19:00:00,129258066.68150518,129258066.68150512,10977895.477217216 
 01/27  20:00:00,111752276.27321205,111752276.27321202,9263997.754053299 
 01/27  21:00:00,101017492.72504959,101017492.72504959,21096067.643007228 
 01/27  22:00:00,96269263.15284068,96269263.15284068,28511473.359911834 
 01/27  23:00:00,77772390.65670999,77772390.65670999,6791184.0 
 01/27  24:00:00,72442274.24247962,72442274.24247962,6791184.0 
 01/28  01:00:00,46745513.81922844,46745513.81922843,6791184.0 
 01/28  02:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/28  03:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/28  04:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/28  05:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/28  06:00:00,46359235.70955593,46359235.709555927,6791184.0 
 01/28  07:00:00,85829784.40966691,85829784.40966693,84525772.80825682 
 01/28  08:00:00,99168629.8907187,99168629.8907187,67874874.15557699 
 01/28  09:00:00,120944330.75558463,120944330.75558463,17695621.67746468 
 01/28  10:00:00,130752881.80832415,130752881.80832413,6791184.0 
