Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PACU_VAV_BOT:Air System Total Heating Energy [J](Hourly),PACU_VAV_BOT:Air System Total Cooling Energy [J](Hourly),PACU_VAV_MID:Air System Total Heating Energy [J](Hourly),PACU_VAV_MID:Air System Total Cooling Energy [J](Hourly),PACU_VAV_TOP:Air System Total Heating Energy [J](Hourly),PACU_VAV_TOP:Air System Total Cooling Energy [J](Hourly) 
 01/07  03:00:00,6.916666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/07  04:00:00,10.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/07  05:00:00,8.083333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/07  06:00:00,7.75,0.0,0.0,0.0,0.0,0.0,0.0 
 01/07  07:00:00,7.25,14033267.532729697,0.0,15104148.732589,0.0,20152227.72235704,0.0 
 01/07  08:00:00,7.75,11356765.906682432,0.0,13830589.963157606,0.0,28879771.35007449,0.0 
 01/07  09:00:00,12.5,3079795.0827018467,1109897.6471185529,3167955.1653687695,927881.0769735862,7465926.510649873,916209.3075547202 
 01/07  10:00:00,16.75,3253895.273335168,21020085.63780324,2654318.440480257,17134705.776650493,2772106.4049055085,15605217.471071586 
 01/07  11:00:00,19.166666666666669,3291551.247818781,40252536.7987688,2809565.6646437656,33937717.477241609,2652223.4591644599,32320836.46519096 
 01/07  12:00:00,19.941666666666668,3685381.6517705286,51687037.357627067,3287677.9038353196,44239624.0085772,2946384.026746437,40996106.41436469 
 01/07  13:00:00,19.375,3284247.9896391176,42352336.86402526,2898428.2645377458,36339902.08663154,2887146.98518196,36597864.591124478 
 01/07  14:00:00,17.833333333333333,2966168.495200126,31466709.673243397,2858570.463208124,27936203.29841456,2683981.9167615429,27528720.6313356 
 01/07  15:00:00,15.833333333333334,2955100.1970282385,16870837.149515097,2732986.097478779,15096146.08687397,2757520.5822407046,15487154.04501401 
 01/07  16:00:00,14.416666666666666,2955100.1970282325,3995479.3706248665,2891707.3754741188,3800065.9532336506,2640184.55196027,3553175.106226695 
 01/07  17:00:00,13.416666666666666,2955100.1970282385,0.0,2507214.1368721539,0.0,2452394.602587499,0.0 
 01/07  18:00:00,12.416666666666666,2955100.197028227,0.0,2435446.2229700658,0.0,2447643.0509012246,0.0 
 01/07  19:00:00,11.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/07  20:00:00,10.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/07  21:00:00,8.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/07  22:00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/07  23:00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/07  24:00:00,6.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  01:00:00,6.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  02:00:00,6.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  03:00:00,5.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  04:00:00,4.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  05:00:00,3.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  06:00:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  07:00:00,1.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  08:00:00,3.9166666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  09:00:00,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  10:00:00,11.75,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  11:00:00,14.75,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  12:00:00,16.583333333333333,1231291.7487617636,7241152.241301363,1654110.7649307559,10325206.645715531,0.0,0.0 
 01/08  13:00:00,17.0,1970066.7980188216,14284262.978518527,2061776.5509843839,15871133.00397767,832593.5509772451,6768955.5991031159 
 01/08  14:00:00,17.0,2462583.497523528,18626033.313851358,1749495.8973415769,13817954.356230053,1653527.1370582218,13624660.293742085 
 01/08  15:00:00,16.416666666666669,1313377.8653458816,8148151.118980566,2052130.476204228,13518316.515766874,0.0,0.0 
 01/08  16:00:00,14.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  17:00:00,12.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  18:00:00,11.416666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  19:00:00,9.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  20:00:00,9.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  21:00:00,9.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  22:00:00,8.825000000000001,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  23:00:00,8.525,0.0,0.0,0.0,0.0,0.0,0.0 
 01/08  24:00:00,8.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/09  01:00:00,6.25,0.0,0.0,0.0,0.0,0.0,0.0 
 01/09  02:00:00,5.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/09  03:00:00,4.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/09  04:00:00,4.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/09  05:00:00,5.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/09  06:00:00,3.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/09  07:00:00,2.5833333333333337,18877075.763210246,0.0,30987852.988941276,0.0,52645953.67534865,0.0 
 01/09  08:00:00,5.333333333333333,35134628.46668851,0.0,27876491.8996371,0.0,56314247.19192737,0.0 
 01/09  09:00:00,9.333333333333334,8682026.185754663,0.0,9356076.407211716,0.0,16609809.479538318,0.0 
 01/09  10:00:00,12.75,5690314.121018252,0.0,2937609.6582001384,0.0,2822752.7937916147,0.0 
 01/09  11:00:00,15.75,5413743.210469039,20315437.36254728,2996660.080809259,12068235.174112574,2775089.7903091346,11374998.801055408 
 01/09  12:00:00,18.166666666666669,5985239.517766358,51638005.2767304,3546707.137639688,32780440.65147303,3117341.9168073798,30200813.53661234 
 01/09  13:00:00,18.416666666666669,5344702.460288699,50880170.57779675,3452656.3491399406,34054511.04461473,3351796.799523055,33822992.29847683 
 01/09  14:00:00,18.0,7172476.43903224,55261644.45688854,3841795.50465117,33218314.461953664,3490690.020522138,31609605.510502999 
 01/09  15:00:00,17.416666666666669,6440974.253673466,44404232.04073627,3545689.796664884,26889661.360777365,3353227.3557337506,26205044.96290134 
 01/09  16:00:00,16.416666666666669,6094515.250514329,30505696.5475188,3351678.8889971298,18709381.18275273,2916673.85235423,17649147.16358597 
 01/09  17:00:00,14.25,6797708.492852054,7217834.417915733,3097341.937980251,4002942.7756865967,2612267.0595539219,3674374.6445826885 
 01/09  18:00:00,11.833333333333334,10035324.583507365,0.0,2435446.2229700668,0.0,2447643.0509012367,0.0 
 01/09  19:00:00,10.416666666666666,3135600.7000540115,0.0,4026721.8249685459,0.0,5115802.028269217,0.0 
 01/09  20:00:00,10.583333333333334,2955100.1970282436,0.0,3620120.790917497,0.0,5494296.311394518,0.0 
 01/09  21:00:00,9.833333333333334,5181088.544068046,0.0,6528452.839462046,0.0,9173870.535599433,0.0 
 01/09  22:00:00,7.833333333333333,12049606.915460922,0.0,13162828.459564243,0.0,17619928.481301954,0.0 
 01/09  23:00:00,7.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/09  24:00:00,7.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/10  01:00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/10  02:00:00,7.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/10  03:00:00,6.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/10  04:00:00,5.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
