Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 04/04  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/04  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/04  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/04  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/04  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/04  06:00:00,94291166.13027215,94291166.13027215,8160238.418267956 
 04/04  07:00:00,179994022.97056658,179994022.97056658,6791184.0 
 04/04  08:00:00,389985234.7067513,389985234.7067512,6791184.0 
 04/04  09:00:00,380072979.0536846,380072979.05368456,6791184.0 
 04/04  10:00:00,405873756.9649606,405873756.96496048,6791184.0 
 04/04  11:00:00,432814413.2513809,432814413.2513808,11361673.3091104 
 04/04  12:00:00,442066830.06270959,442066830.06270959,25747190.335415026 
 04/04  13:00:00,468511210.0705194,468511210.0705194,25545755.20275218 
 04/04  14:00:00,457482324.28758648,457482324.2875864,15501579.319650218 
 04/04  15:00:00,446507406.9524251,446507406.9524251,15480475.703700476 
 04/04  16:00:00,442589160.2499559,442589160.24995586,19341060.669257638 
 04/04  17:00:00,294636751.9145054,294636751.91450539,12017095.076937106 
 04/04  18:00:00,165076174.70707504,165076174.70707507,10976397.127429255 
 04/04  19:00:00,156009024.49456654,156009024.49456654,6791184.0 
 04/04  20:00:00,127708207.7307896,127708207.73078957,6791184.0 
 04/04  21:00:00,123033868.88553876,123033868.88553874,6791184.0 
 04/04  22:00:00,90323952.76734039,90323952.76734039,6791184.0 
 04/04  23:00:00,78718034.42393798,78718034.42393798,6791184.0 
 04/04  24:00:00,59209304.021005768,59209304.021005768,6791184.0 
 04/05  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/05  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/05  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/05  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/05  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/05  06:00:00,94897099.74260445,94897099.74260445,6791184.0 
 04/05  07:00:00,183420760.37199307,183420760.37199307,6791184.0 
 04/05  08:00:00,391368938.48841717,391368938.488417,6791184.0 
 04/05  09:00:00,356956259.7480533,356956259.74805328,6791184.0 
 04/05  10:00:00,369027730.09842839,369027730.09842827,6791184.0 
 04/05  11:00:00,398575613.27035877,398575613.2703587,11354971.152730357 
 04/05  12:00:00,413745760.3285856,413745760.3285856,25706598.87210936 
 04/05  13:00:00,431315352.24391797,431315352.24391797,25555418.213857838 
 04/05  14:00:00,416778842.16050997,416778842.1605098,15511178.921576439 
 04/05  15:00:00,415824887.8705855,415824887.87058547,15488731.756958258 
 04/05  16:00:00,418424555.5884529,418424555.5884528,20335685.862744996 
 04/05  17:00:00,281471149.72294166,281471149.7229416,11032551.479645558 
 04/05  18:00:00,153227523.67351086,153227523.67351086,10973384.944118983 
 04/05  19:00:00,151234344.46815069,151234344.46815069,6791184.0 
 04/05  20:00:00,127805339.68928005,127805339.68928005,6791184.0 
 04/05  21:00:00,123033868.88553876,123033868.88553874,6791184.0 
 04/05  22:00:00,90323952.76734039,90323952.76734039,6791184.0 
 04/05  23:00:00,78718034.42393798,78718034.42393798,6791184.0 
 04/05  24:00:00,59209304.021005768,59209304.021005768,6791184.0 
 04/06  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/06  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/06  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/06  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/06  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/06  06:00:00,94734374.21475862,94734374.21475862,6791184.0 
 04/06  07:00:00,181564158.36064375,181564158.36064375,6791184.0 
 04/06  08:00:00,389557610.3323134,389557610.3323134,6791184.0 
 04/06  09:00:00,363967084.97859707,363967084.9785969,6791184.0 
 04/06  10:00:00,374241909.6952834,374241909.6952833,6791184.0 
 04/06  11:00:00,391018902.07503798,391018902.07503798,15053282.652938782 
 04/06  12:00:00,404751213.56926289,404751213.56926289,22390879.887545106 
 04/06  13:00:00,423222797.23191788,423222797.23191788,25077974.90312708 
 04/06  14:00:00,412055681.88766536,412055681.8876653,15509618.865764335 
 04/06  15:00:00,413794469.4182241,413794469.4182241,15467761.974886744 
 04/06  16:00:00,422567106.52265956,422567106.5226595,20322907.062575006 
 04/06  17:00:00,276853403.3000228,276853403.3000227,11034593.401793534 
 04/06  18:00:00,149242255.86484877,149242255.86484877,10965232.578721425 
 04/06  19:00:00,151185538.03558497,151185538.03558497,6791184.0 
 04/06  20:00:00,127837790.54970911,127837790.54970908,6791184.0 
 04/06  21:00:00,123034078.51513426,123034078.51513425,6791184.0 
 04/06  22:00:00,90323952.76734039,90323952.76734039,6791184.0 
 04/06  23:00:00,78718034.42393798,78718034.42393798,6791184.0 
 04/06  24:00:00,59209304.021005768,59209304.021005768,6791184.0 
 04/07  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/07  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/07  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/07  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/07  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 04/07  06:00:00,94523176.33537612,94523176.3353761,6791184.0 
 04/07  07:00:00,177861763.33205474,177861763.33205474,6791184.0 
 04/07  08:00:00,389868746.90393659,389868746.90393659,6791184.0 
 04/07  09:00:00,372779304.56862118,372779304.56862118,6791184.0 
 04/07  10:00:00,389750827.61337479,389750827.6133746,6791184.0 
 04/07  11:00:00,410055572.1311935,410055572.13119348,15930932.427782802 
 04/07  12:00:00,417948003.7312239,417948003.7312239,23673255.592990675 
 04/07  13:00:00,428868876.67588326,428868876.67588326,22919196.952597269 
 04/07  14:00:00,416297487.94083186,416297487.94083186,15525714.107844234 
 04/07  15:00:00,425022765.48606726,425022765.48606726,15485902.551231485 
