Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 07/17  18:00:00,189697388.5464713,189697388.54647128,6791184.0 
 07/17  19:00:00,164846443.34140343,164846443.3414034,6791184.0 
 07/17  20:00:00,154714402.79951615,154714402.7995161,6791184.0 
 07/17  21:00:00,139429297.81082569,139429297.8108257,6791184.0 
 07/17  22:00:00,77772390.65670999,77772390.65670999,6791184.0 
 07/17  23:00:00,72442274.24247962,72442274.24247962,6791184.0 
 07/17  24:00:00,57996196.7332391,57996196.7332391,6791184.0 
 07/18  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/18  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/18  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/18  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/18  05:00:00,56194670.1137362,56194670.1137362,6791184.0 
 07/18  06:00:00,91011475.37099047,91011475.37099047,6791184.0 
 07/18  07:00:00,175265797.6180172,175265797.61801724,6791184.0 
 07/18  08:00:00,383321264.5427155,383321264.5427155,6791184.0 
 07/18  09:00:00,384230921.58891579,384230921.58891579,6791184.0 
 07/18  10:00:00,390327569.8278713,390327569.82787129,6791184.0 
 07/18  11:00:00,402019455.90841898,402019455.90841898,6791184.0 
 07/18  12:00:00,401455121.0368013,401455121.0368013,25431754.720915189 
 07/18  13:00:00,414777290.6154257,414777290.6154256,20658958.429195238 
 07/18  14:00:00,410732721.32215806,410732721.32215806,15500001.526742805 
 07/18  15:00:00,411827054.980083,411827054.98008289,15407300.6979312 
 07/18  16:00:00,425679833.87438568,425679833.87438568,16955114.636547824 
 07/18  17:00:00,333991492.62487116,333991492.62487116,14075110.679049474 
 07/18  18:00:00,207296652.2175652,207296652.21756516,6791184.0 
 07/18  19:00:00,173939673.72961686,173939673.72961683,6791184.0 
 07/18  20:00:00,154738416.16705729,154738416.16705729,6791184.0 
 07/18  21:00:00,142080505.26937867,142080505.26937867,6791184.0 
 07/18  22:00:00,77772390.65670999,77772390.65670999,6791184.0 
 07/18  23:00:00,72442274.24247962,72442274.24247962,6791184.0 
 07/18  24:00:00,57996196.7332391,57996196.7332391,6791184.0 
 07/19  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/19  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/19  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/19  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/19  05:00:00,56194670.1137362,56194670.1137362,6791184.0 
 07/19  06:00:00,103112993.4068567,103112993.4068567,6791184.0 
 07/19  07:00:00,187951318.90470896,187951318.90470899,6791184.0 
 07/19  08:00:00,403608879.74893346,403608879.7489335,6791184.0 
 07/19  09:00:00,396820182.1149341,396820182.1149341,6791184.0 
 07/19  10:00:00,392541921.6755781,392541921.67557808,6791184.0 
 07/19  11:00:00,409347417.9371381,409347417.93713799,6791184.0 
 07/19  12:00:00,413945928.85256376,413945928.8525637,25434107.070431297 
 07/19  13:00:00,422755602.7323268,422755602.7323268,20656371.306321268 
 07/19  14:00:00,408174073.99920019,408174073.99920019,15493695.830336824 
 07/19  15:00:00,416564033.157193,416564033.157193,15416258.623896148 
 07/19  16:00:00,434530419.5884751,434530419.5884751,15732188.062597264 
 07/19  17:00:00,335145321.3710166,335145321.3710166,15253912.743214529 
 07/19  18:00:00,196914491.7675237,196914491.7675237,6791184.0 
 07/19  19:00:00,171704235.62229718,171704235.62229718,6791184.0 
 07/19  20:00:00,160003467.25574396,160003467.25574396,6791184.0 
 07/19  21:00:00,146869292.45793773,146869292.45793776,6791184.0 
 07/19  22:00:00,77772390.65670999,77772390.65670999,6791184.0 
 07/19  23:00:00,72442274.24247962,72442274.24247962,6791184.0 
 07/19  24:00:00,57996196.7332391,57996196.7332391,6791184.0 
 07/20  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/20  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/20  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/20  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/20  05:00:00,56194670.1137362,56194670.1137362,6791184.0 
 07/20  06:00:00,109266356.88276616,109266356.88276616,6791184.0 
 07/20  07:00:00,173811576.06337229,173811576.06337226,6791184.0 
 07/20  08:00:00,374238872.8172824,374238872.8172824,6791184.0 
 07/20  09:00:00,357700350.42452856,357700350.4245285,6791184.0 
 07/20  10:00:00,375568055.65237578,375568055.6523757,6791184.0 
 07/20  11:00:00,404282931.7638881,404282931.76388809,6791184.0 
 07/20  12:00:00,399561611.0688863,399561611.0688863,25433340.932481778 
 07/20  13:00:00,420752672.3519022,420752672.35190227,20653368.44471352 
 07/20  14:00:00,408574318.66738978,408574318.66738966,15450539.785793817 
 07/20  15:00:00,400549586.4544536,400549586.4544536,15411574.132950094 
 07/20  16:00:00,404954036.33334949,404954036.3333495,15728381.196457385 
 07/20  17:00:00,291752652.3855372,291752652.3855372,11096396.725482222 
 07/20  18:00:00,159000643.83193008,159000643.83193008,10890662.009646526 
 07/20  19:00:00,139298485.98456777,139298485.98456777,6791184.0 
 07/20  20:00:00,134171615.37368216,134171615.37368216,6791184.0 
 07/20  21:00:00,128602612.28253378,128602612.28253378,6791184.0 
 07/20  22:00:00,77772390.65670999,77772390.65670999,6791184.0 
 07/20  23:00:00,72442274.24247962,72442274.24247962,6791184.0 
 07/20  24:00:00,57996196.7332391,57996196.7332391,6791184.0 
 07/21  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/21  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/21  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/21  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/21  05:00:00,56194670.1137362,56194670.1137362,6791184.0 
 07/21  06:00:00,105652328.31861148,105652328.31861148,6791184.0 
 07/21  07:00:00,169010671.3212737,169010671.32127375,6791184.0 
 07/21  08:00:00,359874325.5121193,359874325.5121193,6791184.0 
 07/21  09:00:00,347136277.4678711,347136277.46787109,6791184.0 
 07/21  10:00:00,363330533.2005169,363330533.2005168,6791184.0 
 07/21  11:00:00,385818394.7863933,385818394.7863932,6791184.0 
 07/21  12:00:00,378584335.097134,378584335.09713396,25432600.55520258 
 07/21  13:00:00,399083606.6678043,399083606.6678043,20652304.351646514 
 07/21  14:00:00,385709640.1079375,385709640.1079374,15436038.903366108 
 07/21  15:00:00,393868184.8201678,393868184.8201678,15408182.799186808 
 07/21  16:00:00,407662247.1589937,407662247.1589937,15726739.848849833 
 07/21  17:00:00,297741270.64822527,297741270.64822527,11038981.1733816 
 07/21  18:00:00,171907477.42881353,171907477.42881353,10937686.21344423 
 07/21  19:00:00,152554810.7517134,152554810.7517134,6791184.0 
 07/21  20:00:00,138028806.0054607,138028806.00546075,6791184.0 
 07/21  21:00:00,127024275.14278488,127024275.14278488,6791184.0 
 07/21  22:00:00,77772390.65670999,77772390.65670999,6791184.0 
 07/21  23:00:00,72442274.24247962,72442274.24247962,6791184.0 
 07/21  24:00:00,57996196.7332391,57996196.7332391,6791184.0 
 07/22  01:00:00,46359235.70955593,46359235.709555927,6791184.0 
 07/22  02:00:00,46359235.70955593,46359235.709555927,6791184.0 
 07/22  03:00:00,46359235.70955593,46359235.709555927,6791184.0 
 07/22  04:00:00,46359235.70955593,46359235.709555927,6791184.0 
 07/22  05:00:00,44944045.70955593,44944045.709555927,6791184.0 
 07/22  06:00:00,100755516.93340843,100755516.93340844,6791184.0 
 07/22  07:00:00,136688790.90031026,136688790.90031026,6791184.0 
 07/22  08:00:00,180004420.89881105,180004420.89881099,6791184.0 
 07/22  09:00:00,199506179.6167883,199506179.61678828,6791184.0 
 07/22  10:00:00,200328413.40181688,200328413.4018169,6791184.0 
 07/22  11:00:00,214196741.7250916,214196741.72509159,6791184.0 
 07/22  12:00:00,168730937.22828875,168730937.2282887,6791184.0 
 07/22  13:00:00,163387921.70358957,163387921.70358957,6791184.0 
 07/22  14:00:00,158180927.81216664,158180927.8121666,6791184.0 
 07/22  15:00:00,156947969.08719269,156947969.08719269,6791184.0 
 07/22  16:00:00,160123746.83305384,160123746.83305384,6791184.0 
 07/22  17:00:00,124926247.95384479,124926247.95384479,6791184.0 
 07/22  18:00:00,91344428.18173,91344428.18173,6791184.0 
 07/22  19:00:00,56783459.17771359,56783459.17771358,6791184.0 
 07/22  20:00:00,48904615.70955593,48904615.70955593,6791184.0 
 07/22  21:00:00,48904615.70955593,48904615.70955593,6791184.0 
 07/22  22:00:00,48904615.70955593,48904615.70955593,6791184.0 
 07/22  23:00:00,48904615.70955593,48904615.70955593,6791184.0 
 07/22  24:00:00,46359235.70955593,46359235.709555927,6791184.0 
 07/23  01:00:00,46359235.70955593,46359235.709555927,6791184.0 
 07/23  02:00:00,46359235.70955593,46359235.709555927,6791184.0 
 07/23  03:00:00,46359235.70955593,46359235.709555927,6791184.0 
 07/23  04:00:00,46359235.70955593,46359235.709555927,6791184.0 
 07/23  05:00:00,44944045.70955593,44944045.709555927,6791184.0 
 07/23  06:00:00,46530256.70031457,46530256.70031456,6791184.0 
 07/23  07:00:00,73590736.84457247,73590736.84457246,6791184.0 
 07/23  08:00:00,92448985.95820722,92448985.95820722,6791184.0 
 07/23  09:00:00,105891392.41013898,105891392.41013897,6791184.0 
 07/23  10:00:00,102255063.15764359,102255063.15764359,6791184.0 
 07/23  11:00:00,97933514.80909553,97933514.80909553,6791184.0 
 07/23  12:00:00,67386296.54015017,67386296.54015017,6791184.0 
 07/23  13:00:00,57384626.44221485,57384626.44221485,6791184.0 
 07/23  14:00:00,68017670.26124832,68017670.26124832,6791184.0 
 07/23  15:00:00,96518271.82259166,96518271.82259165,6791184.0 
 07/23  16:00:00,110026663.1985776,110026663.19857759,6791184.0 
 07/23  17:00:00,96042532.44122859,96042532.4412286,6791184.0 
 07/23  18:00:00,96325842.74407567,96325842.74407566,6791184.0 
 07/23  19:00:00,78032429.16172864,78032429.16172864,6791184.0 
 07/23  20:00:00,48904615.70955593,48904615.70955593,6791184.0 
 07/23  21:00:00,48904615.70955593,48904615.70955593,6791184.0 
 07/23  22:00:00,48904615.70955593,48904615.70955593,6791184.0 
 07/23  23:00:00,48904615.70955593,48904615.70955593,6791184.0 
 07/23  24:00:00,46359235.70955593,46359235.709555927,6791184.0 
 07/24  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/24  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/24  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/24  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/24  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/24  06:00:00,102344113.13791219,102344113.13791219,6791184.0 
 07/24  07:00:00,174274202.25447295,174274202.25447295,6791184.0 
 07/24  08:00:00,396490825.7689099,396490825.7689098,6791184.0 
 07/24  09:00:00,385317751.79276129,385317751.7927612,6791184.0 
 07/24  10:00:00,387044994.1216896,387044994.12168958,6791184.0 
 07/24  11:00:00,407380264.32810649,407380264.3281064,6791184.0 
 07/24  12:00:00,395627974.4295651,395627974.429565,20793992.77274595 
 07/24  13:00:00,412204966.82732638,412204966.82732638,23814958.305161608 
 07/24  14:00:00,400892920.6552851,400892920.6552851,12479278.29928452 
 07/24  15:00:00,410967246.260876,410967246.26087597,15405820.125207756 
 07/24  16:00:00,440413222.2600751,440413222.26007506,20189636.762486638 
 07/24  17:00:00,323781344.76505979,323781344.7650597,10999702.55454757 
 07/24  18:00:00,195719747.7440803,195719747.7440803,6791184.0 
 07/24  19:00:00,174562448.42026235,174562448.4202623,6791184.0 
 07/24  20:00:00,153264383.0541495,153264383.0541495,6791184.0 
 07/24  21:00:00,139483784.73986129,139483784.73986129,6791184.0 
 07/24  22:00:00,77772390.65670999,77772390.65670999,6791184.0 
 07/24  23:00:00,72442274.24247962,72442274.24247962,6791184.0 
 07/24  24:00:00,57996196.7332391,57996196.7332391,6791184.0 
 07/25  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/25  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/25  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/25  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/25  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 07/25  06:00:00,116392033.33917032,116392033.33917032,6791184.0 
 07/25  07:00:00,185381721.67389659,185381721.67389659,6791184.0 
 07/25  08:00:00,396933808.0166465,396933808.0166465,6791184.0 
 07/25  09:00:00,386945026.2677618,386945026.26776179,6791184.0 
 07/25  10:00:00,393436427.48155346,393436427.4815534,6791184.0 
 07/25  11:00:00,410211923.9134592,410211923.9134592,6791184.0 
 07/25  12:00:00,401484799.19339129,401484799.1933912,25429692.912833428 
 07/25  13:00:00,423320696.96663179,423320696.96663179,20653352.620841907 
 07/25  14:00:00,410354173.6304882,410354173.63048818,15488395.606117543 
 07/25  15:00:00,419160351.37603226,419160351.3760322,15416846.311634344 
 07/25  16:00:00,432890239.7468829,432890239.74688288,15729462.693783522 
 07/25  17:00:00,312985113.7357912,312985113.7357912,13301384.482597687 
 07/25  18:00:00,184179281.49674858,184179281.49674858,8703949.389519126 
