Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PACU_VAV_BOT:Air System Total Heating Energy [J](Hourly),PACU_VAV_BOT:Air System Total Cooling Energy [J](Hourly),PACU_VAV_MID:Air System Total Heating Energy [J](Hourly),PACU_VAV_MID:Air System Total Cooling Energy [J](Hourly),PACU_VAV_TOP:Air System Total Heating Energy [J](Hourly),PACU_VAV_TOP:Air System Total Cooling Energy [J](Hourly) 
 01/04  17:00:00,16.833333333333333,6130970.727354505,34925578.6467126,3077740.4031209938,20005702.29521338,2761235.457043791,19197256.70615903 
 01/04  18:00:00,15.416666666666666,5183550.644579791,15854519.77326558,2226263.934263763,8336227.881624621,2244263.374771164,8551305.253618153 
 01/04  19:00:00,14.416666666666666,2749864.703895176,2954384.548209017,2211670.6703003316,2278294.611368242,2244263.3747711668,2357094.9094540488 
 01/04  20:00:00,11.666666666666666,4004452.8605902816,0.0,4776042.159386128,0.0,5218602.1522184549,0.0 
 01/04  21:00:00,10.583333333333334,5509501.24794689,0.0,7757288.643648729,0.0,8946787.020769425,0.0 
 01/04  22:00:00,10.416666666666666,6302222.663115005,0.0,8543235.03425385,0.0,10238173.020819202,0.0 
 01/04  23:00:00,11.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/04  24:00:00,9.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  01:00:00,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  02:00:00,7.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  03:00:00,6.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  04:00:00,6.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  05:00:00,7.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  06:00:00,7.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  07:00:00,6.25,19833828.611369775,0.0,22643872.872874116,0.0,29190587.823223108,0.0 
 01/05  08:00:00,7.333333333333333,28829476.524033414,0.0,19632442.70123855,0.0,35714504.14834456,0.0 
 01/05  09:00:00,11.333333333333334,8245822.543777812,0.0,5997357.386841293,0.0,7821327.25156885,0.0 
 01/05  10:00:00,14.75,5469874.538561754,9625976.586210955,3078940.8646369057,5838515.4052099459,2485066.9145624006,4950046.527050364 
 01/05  11:00:00,16.583333333333333,5398313.269159277,29269022.203995177,3194479.4320141666,18279813.00450755,2884940.9938918447,17236320.279018169 
 01/05  12:00:00,17.525000000000003,6168942.2458373489,43420384.45944292,3548626.8155283278,26885677.9210535,3305299.593695959,26259863.217967087 
 01/05  13:00:00,17.958333333333333,5254208.581260906,44185768.602623078,3271514.67157985,28935938.742912704,3427659.679999041,31043282.364198686 
 01/05  14:00:00,17.416666666666669,7231090.179951119,46705194.99438595,3736367.2813459539,28117095.73929011,3540379.5151766675,28954402.90925849 
 01/05  15:00:00,16.591666666666666,6691694.71128202,37330623.144787769,4092947.395217399,24214074.22114951,3648865.2221054008,24188998.459055887 
 01/05  16:00:00,15.483333333333335,6898527.921635304,25053610.75120765,4615159.095019229,16985943.987544616,3540223.600335938,15292192.522561117 
 01/05  17:00:00,13.791666666666666,7452068.373488145,3205328.1591410695,3823675.1787472527,1801758.2512432538,2995578.2885895518,1453357.8279993449 
 01/05  18:00:00,12.416666666666666,7941088.867281472,0.0,2242769.5295377557,0.0,2246913.3105354767,0.0 
 01/05  19:00:00,11.416666666666666,2915750.857557897,0.0,3547781.526801646,0.0,3928412.0356066015,0.0 
 01/05  20:00:00,10.416666666666666,5046700.8581646759,0.0,7906118.474323276,0.0,8932809.386247045,0.0 
 01/05  21:00:00,9.416666666666666,9245661.14024293,0.0,11692174.556913564,0.0,13124866.67050153,0.0 
 01/05  22:00:00,10.166666666666666,6896169.571908541,0.0,9090216.13980662,0.0,10818289.09249988,0.0 
 01/05  23:00:00,9.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  24:00:00,7.25,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  01:00:00,6.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  02:00:00,7.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  03:00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  04:00:00,10.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  05:00:00,9.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  06:00:00,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  07:00:00,9.0,11324917.874215125,0.0,13714710.16016225,0.0,16728103.364935482,0.0 
 01/06  08:00:00,9.0,19549326.301788436,162874.57297012094,13939346.715632949,0.0,25580666.552102534,0.0 
 01/06  09:00:00,11.333333333333334,8959580.739724968,0.0,5870866.031148031,0.0,7511329.056693081,0.0 
 01/06  10:00:00,15.333333333333334,5821861.616494689,16605357.200673145,3132331.0833187184,9806959.55853913,2498918.118733485,8291940.859823976 
 01/06  11:00:00,17.583333333333333,5727546.602666687,41959171.129214327,3347007.5521745767,26161343.07351526,2933214.4274087327,24214000.137703606 
 01/06  12:00:00,18.583333333333333,6469205.259949343,57627958.85519712,3725081.1004680835,35920576.34429837,3335810.521456157,34247164.14175561 
 01/06  13:00:00,19.0,5674932.265131447,58117659.04463013,3301294.6956648605,36197153.70715596,3416437.0168068886,38018871.041295509 
 01/06  14:00:00,19.0,7466306.465188475,68115104.77687863,3994113.5890228308,40901545.7990721,3590500.3925930114,39369456.06388947 
 01/06  15:00:00,18.416666666666669,7044535.968417965,58339689.99677056,4432870.207886634,38435215.44089824,3874364.682931347,36579843.434597518 
 01/06  16:00:00,17.416666666666669,7193244.967408623,46025971.422334719,5061886.863619813,32535457.199059719,3801225.849225128,28061193.68961963 
 01/06  17:00:00,15.833333333333334,7630112.209123048,26261468.97710635,4125481.103699628,15823358.122436734,3189854.7529974889,13848777.607541077 
 01/06  18:00:00,11.5,11899478.012912814,0.0,5751355.507465824,0.0,5640993.589849862,0.0 
 01/06  19:00:00,9.583333333333334,6224027.322432067,926356.796573796,11019636.20863497,0.0,11451587.092705192,0.0 
 01/06  20:00:00,9.416666666666666,8848026.584411692,0.0,11726070.049054802,0.0,12776676.331094729,0.0 
