Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 03/31  14:00:00,240965865.7583616,240965865.7583616,15572529.772930187 
 03/31  15:00:00,228389133.33804519,228389133.33804516,15487555.444806207 
 03/31  16:00:00,235995602.20369584,235995602.2036958,20332176.808471554 
 03/31  17:00:00,189935792.9609873,189935792.96098734,12758677.17816746 
 03/31  18:00:00,95426006.43534215,95426006.43534215,9281023.026683379 
 03/31  19:00:00,97528109.73448248,97528109.73448248,6791184.0 
 03/31  20:00:00,91339209.2203237,91339209.2203237,16024768.148386512 
 03/31  21:00:00,86696647.35408427,86696647.35408427,17630578.233466127 
 03/31  22:00:00,73301957.30496589,73301957.3049659,6791184.0 
 03/31  23:00:00,70207061.25759147,70207061.25759147,6791184.0 
 03/31  24:00:00,57335709.94418401,57335709.94418401,6791184.0 
 04/01  01:00:00,46085139.19145743,46085139.19145743,6791184.0 
 04/01  02:00:00,46085139.19145743,46085139.19145743,6791184.0 
 04/01  03:00:00,46085139.19145743,46085139.19145743,6791184.0 
 04/01  04:00:00,46085139.19145743,46085139.19145743,6791184.0 
 04/01  05:00:00,46085139.19145743,46085139.19145743,6791184.0 
 04/01  06:00:00,81945023.24798088,81945023.2479809,67634518.92782007 
 04/01  07:00:00,100032753.65165022,100032753.65165024,44233639.82857471 
 04/01  08:00:00,112565364.8055237,112565364.80552371,7902024.660403604 
 04/01  09:00:00,134549790.52025805,134549790.52025808,6791184.0 
 04/01  10:00:00,143323608.51466368,143323608.51466368,6791184.0 
 04/01  11:00:00,157456617.34721614,157456617.34721614,6791184.0 
 04/01  12:00:00,124146651.70109132,124146651.7010913,6791184.0 
 04/01  13:00:00,113541345.44686082,113541345.4468608,6791184.0 
 04/01  14:00:00,107025884.49021584,107025884.49021584,6791184.0 
 04/01  15:00:00,104898501.85010755,104898501.85010757,6791184.0 
 04/01  16:00:00,105343667.59486434,105343667.59486434,6791184.0 
 04/01  17:00:00,90751241.29367763,90751241.29367762,6791184.0 
 04/01  18:00:00,45050686.25672022,45050686.256720218,6791184.0 
 04/01  19:00:00,48630498.601663317,48630498.60166331,6791184.0 
 04/01  20:00:00,48630519.19145743,48630519.19145743,6791184.0 
 04/01  21:00:00,48630519.19145743,48630519.19145743,6791184.0 
 04/01  22:00:00,48630519.19145743,48630519.19145743,6791184.0 
 04/01  23:00:00,48630519.19145743,48630519.19145743,6791184.0 
 04/01  24:00:00,46085139.19145743,46085139.19145743,6791184.0 
 04/02  01:00:00,46085139.19145743,46085139.19145743,6791184.0 
 04/02  02:00:00,46085139.19145743,46085139.19145743,6791184.0 
 04/02  03:00:00,46085139.19145743,46085139.19145743,6791184.0 
 04/02  04:00:00,46085139.19145743,46085139.19145743,6791184.0 
 04/02  05:00:00,46085139.19145743,46085139.19145743,6791184.0 
 04/02  06:00:00,54509564.98088258,54509564.98088258,6791184.0 
 04/02  07:00:00,44635644.33166349,44635644.33166348,6791184.0 
 04/02  08:00:00,44533039.34660169,44533039.34660169,6791184.0 
 04/02  09:00:00,47356720.104593317,47356720.104593317,6791184.0 
 04/02  10:00:00,46062860.493387218,46062860.493387218,6791184.0 
 04/02  11:00:00,44530631.45924014,44530631.45924014,6791184.0 
 04/02  12:00:00,44530631.45924014,44530631.45924014,6791184.0 
 04/02  13:00:00,44530631.45924014,44530631.45924014,6791184.0 
 04/02  14:00:00,44530631.45924014,44530631.45924014,6791184.0 
 04/02  15:00:00,56884963.760726679,56884963.760726679,6791184.0 
 04/02  16:00:00,62350141.624764699,62350141.624764699,6791184.0 
 04/02  17:00:00,69741307.30701307,69741307.30701307,6791184.0 
 04/02  18:00:00,39010634.76759533,39010634.76759533,6791184.0 
 04/02  19:00:00,48630519.19145743,48630519.19145743,6791184.0 
 04/02  20:00:00,48630519.19145743,48630519.19145743,6791184.0 
 04/02  21:00:00,48630519.19145743,48630519.19145743,6791184.0 
 04/02  22:00:00,48630519.19145743,48630519.19145743,6791184.0 
 04/02  23:00:00,48630519.19145743,48630519.19145743,6791184.0 
 04/02  24:00:00,46085139.19145743,46085139.19145743,6791184.0 
