Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PACU_VAV_BOT:Air System Total Heating Energy [J](Hourly),PACU_VAV_BOT:Air System Total Cooling Energy [J](Hourly),PACU_VAV_MID:Air System Total Heating Energy [J](Hourly),PACU_VAV_MID:Air System Total Cooling Energy [J](Hourly),PACU_VAV_TOP:Air System Total Heating Energy [J](Hourly),PACU_VAV_TOP:Air System Total Cooling Energy [J](Hourly) 
 01/05  12:00:00,17.525000000000003,6950385.492137805,48001869.39461066,4202706.315932916,31131070.101984987,3603432.067095786,28492018.87975407 
 01/05  13:00:00,17.958333333333333,5891952.057943305,48710651.18454519,3537224.049562686,31761445.374182118,3705476.7871163368,33481482.875924864 
 01/05  14:00:00,17.416666666666669,8090375.254994182,51236905.72867517,4671059.606342301,32894699.20262917,3867381.4234570094,31355202.256328167 
 01/05  15:00:00,16.591666666666666,7600365.399047703,41245547.63280302,5087882.153716533,28372371.248807778,4361434.742116318,27399033.210181118 
 01/05  16:00:00,15.483333333333335,7815927.9318745569,27777840.14717597,5698152.326285957,20023291.238721596,4406831.268365753,17897439.466140436 
 01/05  17:00:00,13.791666666666666,8472732.885719847,3619161.673331752,4825667.081481496,2238364.4809151038,3784138.7383229669,1801631.8451673333 
 01/05  18:00:00,12.416666666666666,8239861.549091514,0.0,2495937.3147285117,0.0,2439589.03676447,0.0 
 01/05  19:00:00,11.416666666666666,3313503.1835497666,0.0,2420372.777258285,0.0,2424852.408741091,0.0 
 01/05  20:00:00,10.416666666666666,2957129.2085419346,0.0,3760625.8809296425,0.0,5665986.309029466,0.0 
 01/05  21:00:00,9.416666666666666,5445910.623022091,0.0,7514528.058504473,0.0,10006951.978058236,0.0 
 01/05  22:00:00,10.166666666666666,4336256.923556832,0.0,5083522.031102386,0.0,7814325.472788914,0.0 
 01/05  23:00:00,9.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/05  24:00:00,7.25,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  01:00:00,6.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  02:00:00,7.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  03:00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  04:00:00,10.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  05:00:00,9.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  06:00:00,8.583333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  07:00:00,9.0,8498945.612236632,0.0,9566156.002642388,0.0,14180762.572828725,0.0 
 01/06  08:00:00,9.0,17310160.52305977,0.0,9922236.12728624,0.0,18773317.38761884,0.0 
 01/06  09:00:00,11.333333333333334,9843336.470212214,0.0,4245331.98684354,0.0,5725682.567434456,0.0 
 01/06  10:00:00,15.333333333333334,6703954.602645097,18675439.980566645,3957777.1784769354,11897009.156527492,2849117.2509248198,9346349.956275899 
 01/06  11:00:00,17.583333333333333,6519506.416623494,46711778.13842706,4095511.48681589,30976399.472925776,3275913.1725845879,26822144.141880529 
 01/06  12:00:00,18.583333333333333,7234394.533160541,63361083.22495615,4452784.1984631209,41740682.79129686,3628401.4661728076,37104141.91310354 
 01/06  13:00:00,19.0,6329819.527104014,63873350.4346897,3678888.6230859237,40253285.37768848,3687007.556655867,40957422.7585907 
 01/06  14:00:00,19.0,8322881.405914165,74662912.59967493,4941118.810921552,48426420.99517993,4038589.719980601,43545746.38265717 
 01/06  15:00:00,18.416666666666669,7889206.761173083,64171918.38874881,5381742.296620533,44931648.51708509,4784242.754579465,42859805.67227186 
 01/06  16:00:00,17.416666666666669,8033507.90977777,50569697.280725,6071313.985756368,37716816.94015731,4740043.298764353,33211178.426370384 
 01/06  17:00:00,15.833333333333334,8509657.057097627,28862986.477632636,5083641.733834306,18736711.20124968,3983315.588078273,16348723.87744048 
 01/06  18:00:00,11.5,12096623.240016956,0.0,3912791.714751248,0.0,4121335.2676130395,0.0 
 01/06  19:00:00,9.583333333333334,3555872.6280724976,0.0,6721362.939201574,0.0,7982951.990900731,0.0 
 01/06  20:00:00,9.416666666666666,4454411.242530528,0.0,7469689.807489996,0.0,9508389.160512636,0.0 
 01/06  21:00:00,9.0,6658855.223155354,0.0,8954481.904297168,0.0,11540715.93193527,0.0 
 01/06  22:00:00,9.583333333333334,5855552.370320123,0.0,7287192.060132669,0.0,10253173.698708687,0.0 
 01/06  23:00:00,7.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/06  24:00:00,6.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/07  01:00:00,6.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/07  02:00:00,4.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0 
 01/07  03:00:00,6.916666666666667,0.0,0.0,0.0,0.0,0.0,0.0 
 01/07  04:00:00,10.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0 
 01/07  05:00:00,8.083333333333334,0.0,0.0,0.0,0.0,0.0,0.0 
 01/07  06:00:00,7.75,0.0,0.0,0.0,0.0,0.0,0.0 
 01/07  07:00:00,7.25,14364247.253988814,0.0,15320352.963420073,0.0,20131181.730123789,0.0 
 01/07  08:00:00,7.75,11469162.532938172,0.0,14031926.898725452,0.0,26287007.58816474,0.0 
 01/07  09:00:00,12.5,3149898.450509006,1152717.7273505498,3203033.122047425,939871.5103678901,5946468.592869083,907858.7690957894 
 01/07  10:00:00,16.75,3343229.2835977177,21609638.91627332,2722698.239849668,17512732.26896768,2437702.3440028785,15599039.850329133 
 01/07  11:00:00,19.166666666666669,3365171.946606568,41170158.7744375,2845941.6056287905,34305992.024920437,2667235.896627836,32499230.216089325 
