Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 10/30  22:00:00,77772390.65670999,77772390.65670999,6791184.0 
 10/30  23:00:00,72442274.24247962,72442274.24247962,6791184.0 
 10/30  24:00:00,57996196.7332391,57996196.7332391,6791184.0 
 10/31  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 10/31  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 10/31  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 10/31  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 10/31  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 10/31  06:00:00,92476861.17605686,92476861.17605686,6791184.0 
 10/31  07:00:00,137594320.15166483,137594320.15166486,6791184.0 
 10/31  08:00:00,328976635.7966018,328976635.7966018,6791184.0 
 10/31  09:00:00,323513539.1793662,323513539.1793661,6791184.0 
 10/31  10:00:00,340787708.89070209,340787708.890702,6791184.0 
 10/31  11:00:00,364993352.9907769,364993352.99077686,11340043.171191179 
 10/31  12:00:00,370924523.36260566,370924523.36260566,25641341.34979984 
 10/31  13:00:00,388192189.63738498,388192189.63738498,22998465.105625035 
 10/31  14:00:00,373401705.01612696,373401705.0161269,13435018.613086582 
 10/31  15:00:00,370776691.18998029,370776691.18998029,15459659.129804623 
 10/31  16:00:00,380057775.5933035,380057775.5933035,20280638.363274799 
 10/31  17:00:00,275319510.14105066,275319510.1410506,11021109.8419711 
 10/31  18:00:00,179106321.33178903,179106321.33178903,10957150.31006945 
 10/31  19:00:00,149452870.20689268,149452870.2068927,6791184.0 
 10/31  20:00:00,124808785.0380384,124808785.03803844,6791184.0 
 10/31  21:00:00,119871282.9407184,119871282.94071841,6791184.0 
 10/31  22:00:00,77772390.65670999,77772390.65670999,6791184.0 
 10/31  23:00:00,72442274.24247962,72442274.24247962,6791184.0 
 10/31  24:00:00,57996196.7332391,57996196.7332391,6791184.0 
 11/01  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/01  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/01  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/01  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/01  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/01  06:00:00,92574121.22793013,92574121.22793016,6791184.0 
 11/01  07:00:00,142493266.49590067,142493266.49590067,7003629.424514711 
 11/01  08:00:00,301507710.4423241,301507710.44232407,6791184.0 
 11/01  09:00:00,271692472.3032765,271692472.3032764,6791184.0 
 11/01  10:00:00,281349600.398639,281349600.39863899,6791184.0 
 11/01  11:00:00,299778062.59183809,299778062.59183809,11341323.733493954 
 11/01  12:00:00,302825944.0347003,302825944.0347002,25653664.720546046 
 11/01  13:00:00,315983519.0387371,315983519.03873708,22337205.55354185 
 11/01  14:00:00,307509870.3768808,307509870.3768808,14060383.554486683 
 11/01  15:00:00,304996459.4532857,304996459.4532857,15462324.6957594 
 11/01  16:00:00,313812767.91305276,313812767.9130527,20282723.83124047 
 11/01  17:00:00,231033787.18936248,231033787.18936245,11022227.0730685 
 11/01  18:00:00,145243517.37658987,145243517.3765899,10957694.599775378 
 11/01  19:00:00,122743636.51777169,122743636.51777172,6791184.0 
 11/01  20:00:00,108533411.55479104,108533411.55479104,6791184.0 
 11/01  21:00:00,99346549.92474199,99346549.924742,6791184.0 
 11/01  22:00:00,77772390.65670999,77772390.65670999,6791184.0 
 11/01  23:00:00,72442274.24247962,72442274.24247962,6791184.0 
 11/01  24:00:00,57996196.7332391,57996196.7332391,6791184.0 
 11/02  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/02  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/02  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/02  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/02  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/02  06:00:00,92525936.8873569,92525936.8873569,10539402.982129213 
 11/02  07:00:00,146890071.7112422,146890071.71124224,8783542.90138524 
 11/02  08:00:00,299478117.8425442,299478117.8425442,6791184.0 
 11/02  09:00:00,268093149.07887695,268093149.0788769,6791184.0 
 11/02  10:00:00,270641974.1514769,270641974.15147688,6791184.0 
 11/02  11:00:00,290603458.79547318,290603458.79547318,11341473.326271169 
 11/02  12:00:00,297278746.6598429,297278746.6598429,25655941.638096043 
 11/02  13:00:00,306331847.50346788,306331847.50346788,23352334.34394936 
 11/02  14:00:00,296903038.80772778,296903038.80772766,13112631.716486693 
 11/02  15:00:00,281597997.206986,281597997.206986,15458273.95773763 
 11/02  16:00:00,289369555.028646,289369555.028646,20282306.771305767 
 11/02  17:00:00,217006236.25013144,217006236.2501314,11029811.568257193 
 11/02  18:00:00,129257311.3769241,129257311.37692411,10946993.340538465 
 11/02  19:00:00,111714832.76504174,111714832.76504177,6791184.0 
 11/02  20:00:00,100970624.60928364,100970624.60928363,6791184.0 
 11/02  21:00:00,96230682.93391708,96230682.93391708,6791184.0 
 11/02  22:00:00,77772390.65670999,77772390.65670999,6791184.0 
 11/02  23:00:00,72442274.24247962,72442274.24247962,6791184.0 
 11/02  24:00:00,57996196.7332391,57996196.7332391,6791184.0 
 11/03  01:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/03  02:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/03  03:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/03  04:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/03  05:00:00,57609860.1137362,57609860.1137362,6791184.0 
 11/03  06:00:00,92417671.79743874,92417671.79743877,9827996.764063728 
 11/03  07:00:00,152551215.95704884,152551215.95704887,9669102.430767987 
 11/03  08:00:00,299038214.5290166,299038214.5290166,6791184.0 
 11/03  09:00:00,278298083.69412806,278298083.69412806,6791184.0 
 11/03  10:00:00,271865542.8888576,271865542.8888576,6791184.0 
 11/03  11:00:00,281188498.7322295,281188498.7322294,11341205.243412082 
 11/03  12:00:00,291031996.1563418,291031996.15634176,25661711.481627793 
 11/03  13:00:00,303116390.34122589,303116390.34122589,24900362.365943385 
 11/03  14:00:00,289641625.04115387,289641625.0411538,11982740.173356 
 11/03  15:00:00,293241080.9384729,293241080.93847289,15141417.732769989 
 11/03  16:00:00,302101580.78533318,302101580.7853331,20280961.523333204 
 11/03  17:00:00,215245857.23789013,215245857.2378901,11022822.720528055 
 11/03  18:00:00,129228023.963425,129228023.963425,10966226.527473022 
 11/03  19:00:00,111651067.28195124,111651067.28195125,6791184.0 
 11/03  20:00:00,100891280.47762555,100891280.47762555,6791184.0 
 11/03  21:00:00,96230682.93391708,96230682.93391708,6791184.0 
 11/03  22:00:00,77772390.65670999,77772390.65670999,6791184.0 
 11/03  23:00:00,72442274.24247962,72442274.24247962,6791184.0 
 11/03  24:00:00,57996196.7332391,57996196.7332391,6791184.0 
 11/04  01:00:00,46359235.70955593,46359235.709555927,6791184.0 
 11/04  02:00:00,46359235.70955593,46359235.709555927,6791184.0 
 11/04  03:00:00,46359235.70955593,46359235.709555927,6791184.0 
 11/04  04:00:00,46359235.70955593,46359235.709555927,6791184.0 
 11/04  05:00:00,46359235.70955593,46359235.709555927,6791184.0 
 11/04  06:00:00,92283533.94894955,92283533.94894955,7647596.524913088 
 11/04  07:00:00,95653680.02072399,95653680.02072399,7856490.5448910179 
 11/04  08:00:00,120131126.607562,120131126.60756198,6791184.0 
 11/04  09:00:00,134306369.3604065,134306369.3604065,6791184.0 
 11/04  10:00:00,139973577.20443277,139973577.20443277,6791184.0 
 11/04  11:00:00,148167038.25017909,148167038.25017906,6791184.0 
 11/04  12:00:00,109596361.53947455,109596361.53947455,6791184.0 
